"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Homework","Test1","Test2","Quiz","Lab","Overall","Grade"
"11",0,77.5,0,15,0,70,80,80,57.5,11,66.6666666666667,27.7777777777778,35,15,21.6,50.4,63.3333333333333,10.9756097560976,48.8372093023256,43.1481481481482,100,49.8766464990231,"F"
"12",95,100,100,100,100,90,100,100,70,12,100,100,80,100,77.6,87.3,98.125,96.3414634146341,96.5116279069767,100,100,97.833699659671,NA
"13",82.5,0,82.5,80,100,0,0,0,70,12,75,38.8888888888889,45,60,42.4,41.4,83,42.6829268292683,37.2093023255814,60,100,61.738910947249,"C-"
"14",80,92.5,87.5,100,100,69,51.5,80,75,12,100,83.3333333333333,67.5,100,70.4,68.4,85.5,85.3658536585366,72.0930232558139,94.4444444444444,100,84.9130932123275,"A"
"15",87.5,100,100,100,85,90,100,100,80,12,66.6666666666667,72.2222222222222,60,75,68,70.2,95.3125,81.7073170731707,74.4186046511628,71.2962962962963,100,84.2343090218693,"C"
"16",50,0,67.5,50,0,78,41.5,82.5,80,11,33.3333333333333,55.5555555555556,70,85,40,36.9,64.2142857142857,39.0243902439024,31.3953488372093,70.1851851851852,100,55.4457787501463,"C"
"17",47.5,70,77.5,30,85,55,78,92.5,80,11,66.6666666666667,16.6666666666667,0,30,47.2,20.7,73.1875,50,10.4651162790698,37.7777777777778,100,50.2391957364341,"F"
"18",77.5,85,100,100,95,93,82,90,95,12,75,55.5555555555556,70,65,59.2,69.3,92.5,68.2926829268293,73.2558139534884,70,100,80.2224900737379,"C"
"19",65,92.5,92.5,0,95,80,74,80,80,12,83.3333333333333,50,65,70,64,67.95,82.375,75.609756097561,71.5116279069767,72.7777777777778,100,78.629024862923,"C"
"20",52.5,75,85,90,86.25,99,70,100,0,8,66.6666666666667,77.7777777777778,25,50,61.6,62.1,82.21875,71.9512195121951,63.953488372093,64.8148148148148,100,74.7664632176845,"C-"
"21",77.5,97.5,100,100,100,100,100,100,100,12,91.6666666666667,100,70,100,69.6,70.2,99.6875,84.1463414634146,74.4186046511628,97.2222222222222,100,89.923502788807,"A+"
